ProductoId,ReorderPoint,ABC,lead_time
446,31,B: 100-1k,7.857142857142857
450,24,B: 100-1k,7.57027027027027
451,10,C: <100,7.033333333333333
453,10,C: <100,7.568965517241379
457,4,C: <100,8.4
463,31,B: 100-1k,7.598765432098766
473,28,C: <100,8.272727272727273
482,276,A: 1k-30k,7.4286321155480035
485,35,B: 100-1k,7.621621621621622
497,295,A: 1k-30k,7.440789473684211
500,2,C: <100,7.518518518518518
505,2,C: <100,6.111111111111111
508,659,A: 1k-30k,7.803989592367737
513,24,B: 100-1k,8.407809110629067
515,18,C: <100,8.616326530612245
516,4,C: <100,8.470588235294118
523,119,B: 100-1k,7.734782608695652
525,7,C: <100,7.443181818181818
529,7,C: <100,8.628571428571428
530,2,C: <100,7.0
536,3,C: <100,7.3
538,185,A: 1k-30k,7.668679245283019
539,116,B: 100-1k,7.33983286908078
540,231,A: 1k-30k,8.761904761904763
541,23,C: <100,6.916666666666667
543,5,C: <100,9.5
547,7,C: <100,7.388888888888889
548,5,C: <100,7.5
549,3,C: <100,7.277777777777778
551,2,C: <100,7.318181818181818
555,7,C: <100,7.844036697247707
557,2,C: <100,6.5
564,12,C: <100,7.888888888888889
565,4,C: <100,7.56
567,107,B: 100-1k,7.455424274973147
576,2,C: <100,7.538461538461538
585,7,C: <100,7.96039603960396
586,6,C: <100,8.714285714285714
587,3,C: <100,7.65
589,2,C: <100,5.714285714285714
590,2,C: <100,8.0
592,4,C: <100,8.268041237113403
597,104,B: 100-1k,7.4222222222222225
598,18,B: 100-1k,8.092436974789916
599,44,B: 100-1k,7.67003367003367
600,7,C: <100,7.204081632653061
601,43,B: 100-1k,7.626168224299065
602,35,C: <100,8.063636363636364
603,3,C: <100,6.714285714285714
604,9,C: <100,7.393939393939394
605,4,C: <100,7.65
607,6,C: <100,7.644444444444445
608,2,C: <100,9.0
610,2,C: <100,7.277777777777778
613,2,C: <100,7.0
614,3,C: <100,8.333333333333334
634,4,C: <100,8.08695652173913
635,15,C: <100,8.1875
636,3,C: <100,10.0
640,15,C: <100,8.9
644,19,B: 100-1k,7.55
649,12,C: <100,7.413533834586466
650,2,C: <100,6.5
652,3,C: <100,5.476923076923077
653,32,B: 100-1k,7.458937198067633
658,37,B: 100-1k,7.496598639455782
659,21,C: <100,7.3544303797468356
661,95,B: 100-1k,7.963680387409201
664,7,C: <100,7.427350427350428
669,16,C: <100,6.0
675,5,C: <100,7.0
676,105,B: 100-1k,7.585944115156647
680,43,B: 100-1k,8.319444444444445
685,6,C: <100,6.888888888888889
686,21,B: 100-1k,8.12290502793296
689,29,B: 100-1k,7.82
693,11,C: <100,7.782608695652174
694,6,C: <100,7.089743589743589
700,4,C: <100,7.867647058823529
702,9,C: <100,6.861111111111111
704,2,C: <100,6.2631578947368425
713,2,C: <100,8.0
714,2,C: <100,9.0
715,4,C: <100,7.9411764705882355
718,2,C: <100,6.7272727272727275
731,3,C: <100,6.666666666666667
735,4,C: <100,7.444444444444445
742,2,C: <100,7.875
743,28,B: 100-1k,7.5831435079726655
749,3,C: <100,7.64
751,9,C: <100,8.457142857142857
753,22,C: <100,8.224489795918368
756,44,B: 100-1k,7.5
757,45,B: 100-1k,7.51984126984127
758,19,B: 100-1k,7.714285714285714
759,16,C: <100,8.379310344827585
764,7,C: <100,7.95
775,43,B: 100-1k,7.161676646706587
776,2,C: <100,5.0
778,20,C: <100,7.9655172413793105
779,11,C: <100,7.854166666666667
780,4,C: <100,7.864864864864865
782,97,B: 100-1k,7.553370786516854
784,5,C: <100,10.0
787,3,C: <100,8.5625
788,30,C: <100,10.0
797,2,C: <100,11.0
800,159,B: 100-1k,7.407628128724673
802,46,B: 100-1k,7.769406392694064
803,2,C: <100,8.590909090909092
804,9,C: <100,8.05
806,14,C: <100,7.598130841121495
807,274,A: 1k-30k,7.516867469879518
809,52,B: 100-1k,7.486187845303867
810,63,B: 100-1k,8.095959595959595
811,230,A: 1k-30k,7.563421828908554
812,156,A: 1k-30k,7.798076923076923
814,2,C: <100,9.428571428571429
818,137,B: 100-1k,7.739130434782608
821,57,B: 100-1k,7.505732484076433
822,87,B: 100-1k,7.557268722466961
823,5,C: <100,8.0625
824,85,B: 100-1k,7.755892255892256
825,29,B: 100-1k,7.836065573770492
826,2,C: <100,9.0
827,4,C: <100,7.631578947368421
828,2,C: <100,6.882352941176471
829,92,B: 100-1k,7.2
830,5,C: <100,10.0
831,9,C: <100,7.877551020408164
832,3,C: <100,7.266666666666667
833,10,C: <100,8.30952380952381
834,8,C: <100,8.310344827586206
835,14,C: <100,7.6923076923076925
836,3,C: <100,7.666666666666667
837,5,C: <100,7.739130434782608
838,17,C: <100,7.631578947368421
840,6,C: <100,7.75
842,4,C: <100,8.0
844,4,C: <100,7.615384615384615
845,5,C: <100,8.172413793103448
847,4,C: <100,7.333333333333333
849,2,C: <100,8.11111111111111
853,3,C: <100,7.0
854,43,B: 100-1k,7.4147727272727275
855,21,B: 100-1k,7.491803278688525
856,18,C: <100,8.666666666666666
857,189,A: 1k-30k,7.5266272189349115
858,105,B: 100-1k,7.613207547169812
859,34,B: 100-1k,7.6891891891891895
860,29,B: 100-1k,8.050420168067227
861,20,C: <100,6.920454545454546
862,3,C: <100,6.5
863,2,C: <100,6.875
865,13,C: <100,7.241379310344827
866,4,C: <100,6.5
868,8,C: <100,8.043478260869565
869,4,C: <100,8.071428571428571
870,27,B: 100-1k,8.452954048140043
871,3,C: <100,8.714285714285714
874,3,C: <100,8.0
875,10,C: <100,7.30188679245283
876,12,C: <100,8.15
877,14,C: <100,7.88659793814433
878,17,B: 100-1k,7.713414634146342
879,8,C: <100,8.307692307692308
880,14,C: <100,7.454545454545454
881,7,C: <100,8.19047619047619
882,5,C: <100,7.777777777777778
883,2,C: <100,9.125
884,17,C: <100,8.208333333333334
885,14,C: <100,8.166666666666666
887,18,C: <100,7.666666666666667
888,2,C: <100,6.333333333333333
889,15,C: <100,7.545454545454546
890,4,C: <100,7.526315789473684
892,22,B: 100-1k,7.635235732009925
895,25,B: 100-1k,7.794117647058823
896,24,B: 100-1k,7.64367816091954
897,21,C: <100,7.078260869565217
899,15,C: <100,7.75
901,27,C: <100,8.0
903,78,B: 100-1k,7.758620689655173
904,54,B: 100-1k,7.630541871921182
905,3,C: <100,7.043478260869565
906,7,C: <100,7.217391304347826
910,4,C: <100,7.222222222222222
911,7,C: <100,7.333333333333333
912,6,C: <100,8.125
913,19,C: <100,8.0
914,6,C: <100,9.333333333333334
915,16,C: <100,8.096774193548388
918,5,C: <100,7.0
920,14,C: <100,7.2
926,3,C: <100,4.0
929,18,C: <100,7.636363636363637
932,3,C: <100,5.666666666666667
934,18,B: 100-1k,8.297935103244837
935,2,C: <100,9.0
938,14,C: <100,7.582089552238806
942,20,C: <100,7.220994475138122
945,2,C: <100,6.888888888888889
950,2,C: <100,6.666666666666667
956,5,C: <100,7.090909090909091
957,2,C: <100,6.0
966,85,B: 100-1k,8.484931506849316
967,2,C: <100,9.0
970,21,B: 100-1k,7.578947368421052
971,21,C: <100,7.903225806451613
972,5,C: <100,7.8
973,7,C: <100,7.5
975,5,C: <100,8.08695652173913
976,31,B: 100-1k,7.283018867924528
977,2,C: <100,7.5
978,70,B: 100-1k,8.109375
979,3,C: <100,7.2
981,27,B: 100-1k,7.655737704918033
982,23,B: 100-1k,7.592233009708738
984,67,B: 100-1k,8.53641456582633
989,3,C: <100,8.5
994,10,C: <100,8.666666666666666
995,6,C: <100,8.31578947368421
998,4,C: <100,8.566037735849056
999,6,C: <100,8.446540880503145
1000,7,C: <100,9.25
1001,274,B: 100-1k,7.283870967741936
1003,9,C: <100,7.130368098159509
1004,12,C: <100,8.411764705882353
1005,53,B: 100-1k,7.709677419354839
1006,85,B: 100-1k,9.5
1007,8,C: <100,9.0
1009,17,C: <100,9.857142857142858
1012,9,C: <100,6.75
1013,34,C: <100,7.863636363636363
1019,20,C: <100,9.59016393442623
1020,12,C: <100,8.5
1021,23,C: <100,8.526315789473685
1022,25,B: 100-1k,8.625
1023,59,B: 100-1k,8.25
1024,92,B: 100-1k,7.355555555555555
1025,15,C: <100,5.615384615384615
1026,5,C: <100,7.8125
1029,31,C: <100,7.2727272727272725
1030,16,C: <100,8.25
1031,6,C: <100,7.909090909090909
1032,2,C: <100,9.0
1033,6,C: <100,6.0
1034,4,C: <100,7.361538461538461
1035,11,C: <100,9.5
1036,10,C: <100,7.12962962962963
1037,12,C: <100,11.0
1038,7,C: <100,7.0606060606060606
1039,24,B: 100-1k,6.5
1042,9,C: <100,7.6
1045,6,C: <100,8.380952380952381
1048,8,C: <100,7.777777777777778
1049,77,B: 100-1k,9.192307692307692
1050,7,C: <100,7.545454545454546
1051,3,C: <100,7.4
1059,10,C: <100,7.916666666666667
1060,63,B: 100-1k,6.931464174454828
1061,6,C: <100,6.902777777777778
1062,7,C: <100,6.4772727272727275
1064,44,B: 100-1k,7.9411764705882355
1065,16,B: 100-1k,6.816901408450704
1066,5,C: <100,10.333333333333334
1090,3,C: <100,5.5
1094,29,B: 100-1k,7.89587852494577
1096,7,C: <100,7.867469879518072
1106,2,C: <100,8.533333333333333
1107,2,C: <100,7.875
1112,38,B: 100-1k,7.888888888888889
1120,14,C: <100,6.0
1129,3,C: <100,5.333333333333333
1133,15,B: 100-1k,7.231132075471698
1135,46,B: 100-1k,7.754201680672269
1136,115,B: 100-1k,7.255474452554744
1148,17,C: <100,7.636904761904762
1156,8,C: <100,7.398058252427185
1158,31,B: 100-1k,7.415384615384616
1168,21,B: 100-1k,7.459016393442623
1173,8,C: <100,7.0
1174,56,B: 100-1k,7.6686507936507935
1178,103,B: 100-1k,7.320872274143302
1180,333,A: 1k-30k,7.365118174409128
1181,12,C: <100,8.533333333333333
1186,19,B: 100-1k,7.554770318021202
1210,4,C: <100,7.357142857142857
1212,128,B: 100-1k,8.421052631578947
1214,23,C: <100,9.0
1215,2,C: <100,7.0
1220,130,A: 1k-30k,7.4934383202099735
1226,31,B: 100-1k,7.771289537712895
1228,15,C: <100,8.004032258064516
1231,290,A: 1k-30k,7.563502673796791
1232,612,A: 1k-30k,7.506024096385542
1233,1209,A: 1k-30k,7.442588092345079
1236,6,C: <100,8.0
1237,47,B: 100-1k,7.513888888888889
1238,98,B: 100-1k,8.086614173228346
1239,35,B: 100-1k,7.642737896494157
1240,4,C: <100,5.481481481481482
1244,64,B: 100-1k,7.274390243902439
1248,2,C: <100,10.0
1252,13,C: <100,9.0
1253,2,C: <100,8.666666666666666
1258,59,B: 100-1k,7.792332268370607
1259,8,C: <100,8.5
1261,252,A: 1k-30k,8.304347826086957
1262,25,C: <100,5.5
1267,14,C: <100,5.666666666666667
1269,122,B: 100-1k,7.64920744314266
1271,38,B: 100-1k,7.572895277207392
1273,26,B: 100-1k,7.674698795180723
1274,2,C: <100,10.6
1276,149,B: 100-1k,7.611111111111111
1278,86,B: 100-1k,7.526450511945392
1281,122,B: 100-1k,7.503634475597092
1282,29,B: 100-1k,7.651282051282052
1295,218,A: 1k-30k,7.551020408163265
1296,8,C: <100,8.285714285714286
1309,8,C: <100,9.585365853658537
1323,63,B: 100-1k,7.552699228791774
1328,6,C: <100,8.8
1330,30,B: 100-1k,8.033132530120483
1336,39,B: 100-1k,6.805555555555555
1339,13,C: <100,7.725
1340,30,B: 100-1k,8.290322580645162
1343,3,C: <100,8.108695652173912
1345,117,B: 100-1k,7.477142857142857
1346,255,A: 1k-30k,7.521709401709401
1347,13,C: <100,7.514925373134329
1348,139,A: 1k-30k,7.7846481876332625
1355,224,A: 1k-30k,7.529485570890841
1358,41,B: 100-1k,7.533969010727056
1359,51,B: 100-1k,7.64171974522293
1361,9,C: <100,8.909090909090908
1364,14,C: <100,7.958333333333333
1365,106,B: 100-1k,8.880239520958083
1366,675,A: 1k-30k,7.672014260249554
1373,153,A: 1k-30k,7.78
1375,380,A: 1k-30k,7.470672389127325
1376,916,A: 1k-30k,7.336332070707071
1378,255,A: 1k-30k,7.447884416924665
1379,160,A: 1k-30k,7.369269949066214
1380,54,B: 100-1k,7.535714285714286
1382,43,B: 100-1k,7.6685236768802225
1384,220,A: 1k-30k,7.42455242966752
1385,406,A: 1k-30k,7.6650755767700876
1386,25,B: 100-1k,7.607142857142857
1388,64,B: 100-1k,7.366336633663367
1389,225,A: 1k-30k,7.6031195840554595
1390,5,C: <100,7.928571428571429
1392,10,C: <100,8.928571428571429
1393,83,B: 100-1k,12.0
1394,78,B: 100-1k,7.685305591677503
1395,120,B: 100-1k,7.614993646759848
1396,162,A: 1k-30k,7.465307464649786
1397,100,B: 100-1k,7.969534050179211
1398,36,B: 100-1k,7.27810650887574
1399,12,C: <100,7.775
1404,2,C: <100,8.0
1414,12,C: <100,9.0
1415,114,B: 100-1k,7.560640732265446
1416,10,C: <100,8.5
1424,38,B: 100-1k,7.679352997145576
1425,10,C: <100,8.142857142857142
1464,26,B: 100-1k,7.393129770992366
1465,175,A: 1k-30k,7.480457578646329
1468,75,B: 100-1k,7.530952380952381
1474,13,C: <100,7.4
1476,727,A: 1k-30k,8.643598615916956
1479,124,B: 100-1k,7.4689119170984455
1483,21,C: <100,8.26923076923077
1492,2,C: <100,12.0
1505,17,C: <100,9.333333333333334
1515,67,B: 100-1k,7.788636363636364
1520,136,B: 100-1k,7.799283154121864
1535,137,B: 100-1k,7.496296296296296
1542,9,C: <100,8.818181818181818
1545,131,A: 1k-30k,7.6400839454354665
1550,183,A: 1k-30k,9.75
1556,35,B: 100-1k,6.976190476190476
1565,2,C: <100,5.666666666666667
1591,23,C: <100,8.05
1595,82,B: 100-1k,7.396396396396397
1598,2,C: <100,8.0
1623,100,B: 100-1k,7.56781914893617
1634,110,B: 100-1k,7.481481481481482
1637,175,A: 1k-30k,7.3920402561756635
1639,53,B: 100-1k,7.037267080745342
1657,15,C: <100,6.829113924050633
1663,212,A: 1k-30k,8.054455445544555
1667,2,C: <100,9.11111111111111
1672,17,C: <100,7.6
1692,52,B: 100-1k,7.622920517560074
1715,31,B: 100-1k,8.321663019693654
1722,2,C: <100,8.375
1725,46,B: 100-1k,8.337423312883436
1727,45,B: 100-1k,8.21938775510204
1728,20,B: 100-1k,7.796407185628743
1733,5,C: <100,8.0
1734,64,B: 100-1k,7.418918918918919
1737,213,A: 1k-30k,7.615795968737145
1738,50,B: 100-1k,8.0088161209068
1740,7,C: <100,8.32258064516129
1744,28,B: 100-1k,7.3354037267080745
1746,25,B: 100-1k,7.152974504249292
1748,35,B: 100-1k,7.815699658703072
1758,49,B: 100-1k,7.602760736196319
1760,37,B: 100-1k,7.904458598726115
1762,4,C: <100,7.375
1767,149,A: 1k-30k,7.562393162393162
1770,91,B: 100-1k,7.610970464135021
1771,10,C: <100,7.7492711370262395
1781,42,C: <100,7.955882352941177
1788,4,C: <100,6.5
1789,236,A: 1k-30k,7.517857142857143
1790,6,C: <100,9.0
1798,6,C: <100,7.341176470588235
1817,30,B: 100-1k,7.713080168776371
1835,27,B: 100-1k,7.756880733944954
1836,14,B: 100-1k,7.705521472392638
1845,33,B: 100-1k,8.434782608695652
1848,11,C: <100,7.403225806451613
1860,6,C: <100,7.913043478260869
1862,31,B: 100-1k,7.39261744966443
1864,4,C: <100,7.333333333333333
1867,254,A: 1k-30k,7.534435261707989
1868,62,B: 100-1k,7.475945017182131
1869,64,B: 100-1k,7.526170798898072
1870,20,B: 100-1k,7.308411214953271
1874,3,C: <100,9.166666666666666
1875,28,B: 100-1k,7.384615384615385
1876,5,C: <100,7.143790849673203
1878,11,C: <100,6.5
1880,11,C: <100,7.301980198019802
1883,340,A: 1k-30k,7.531702127659575
1886,109,B: 100-1k,7.510155316606929
1888,2,C: <100,6.166666666666667
1889,19,C: <100,7.363636363636363
1890,18,B: 100-1k,7.658064516129032
1891,3,C: <100,6.01123595505618
1892,3010,A: 1k-30k,7.678691275167785
1893,5,C: <100,7.721153846153846
1895,43,B: 100-1k,7.324675324675325
1896,17,B: 100-1k,8.343915343915343
1920,5,C: <100,7.02
1921,56,B: 100-1k,7.952080706179067
1927,2,C: <100,7.245901639344262
1932,15,C: <100,6.52760736196319
1955,177,A: 1k-30k,7.512406947890819
1956,60,B: 100-1k,7.926657263751763
1961,41,B: 100-1k,7.609326424870466
1962,163,A: 1k-30k,7.545706371191136
1964,15,C: <100,7.326829268292683
1972,10,C: <100,8.333333333333334
1982,2,C: <100,7.335820895522388
1987,6,C: <100,6.589743589743589
1997,3,C: <100,7.2
1999,8,C: <100,8.8
2000,2,C: <100,8.285714285714286
2008,28,B: 100-1k,7.540084388185654
2015,296,A: 1k-30k,7.556844547563805
2016,3,C: <100,8.5
2017,25,B: 100-1k,7.568627450980392
2024,17,C: <100,9.5
2026,41,B: 100-1k,7.778501628664495
2027,2,C: <100,6.0
2029,5,C: <100,8.27659574468085
2030,18,B: 100-1k,7.421511627906977
2034,23,B: 100-1k,7.996047430830039
2035,29,B: 100-1k,7.3050108932461875
2036,6,C: <100,9.75
2037,238,A: 1k-30k,7.809756097560975
2039,14,C: <100,7.666666666666667
2041,22,C: <100,7.727810650887574
2042,4,C: <100,6.917910447761194
2043,10,C: <100,7.25
2045,20,B: 100-1k,7.396039603960396
2047,14,C: <100,7.949238578680203
2050,2,C: <100,7.181818181818182
2054,17,B: 100-1k,7.345864661654136
2058,2,C: <100,7.0
2062,38,B: 100-1k,7.474278544542033
2071,8,C: <100,8.214285714285714
2074,2,C: <100,9.333333333333334
2075,2,C: <100,8.0
2082,13,C: <100,7.325925925925926
2083,19,B: 100-1k,7.681818181818182
2085,42,B: 100-1k,7.69964664310954
2086,5,C: <100,8.0
2087,3,C: <100,8.578947368421053
2088,2,C: <100,7.636363636363637
2089,10,C: <100,7.75
2096,6,C: <100,7.0
2098,12,C: <100,9.083333333333334
2100,220,A: 1k-30k,7.9398523985239855
2101,23,B: 100-1k,7.25
2103,10,C: <100,7.64
2104,3,C: <100,8.6
2105,113,B: 100-1k,7.84006734006734
2106,2,C: <100,7.0
2108,2,C: <100,10.0
2109,8,C: <100,7.385964912280702
2112,18,C: <100,7.526315789473684
2114,905,A: 1k-30k,7.781366691560867
2115,26,B: 100-1k,8.4
2116,18,C: <100,8.635379061371841
2117,216,A: 1k-30k,7.8244444444444445
2118,4,C: <100,5.0
2119,7,C: <100,9.571428571428571
2120,1100,A: 1k-30k,7.429733246584255
2121,80,B: 100-1k,7.295511221945137
2122,133,A: 1k-30k,7.484742807323452
2123,10,C: <100,6.531914893617022
2125,26,B: 100-1k,8.34061135371179
2127,947,A: 1k-30k,7.448989731699238
2129,3,C: <100,7.2
2130,10,C: <100,7.178438661710037
2131,132,B: 100-1k,9.2
2132,100,B: 100-1k,7.737774030354132
2136,69,B: 100-1k,7.471337579617835
2137,3,C: <100,9.0
2142,52,B: 100-1k,8.018987341772151
2143,316,A: 1k-30k,7.619926199261992
2145,34,B: 100-1k,7.345744680851064
2148,69,B: 100-1k,8.222222222222221
2149,130,B: 100-1k,7.731364275668073
2152,147,A: 1k-30k,7.660268714011516
2153,30,B: 100-1k,9.0
2155,32,B: 100-1k,7.597585513078471
2156,7,C: <100,7.6
2158,24,B: 100-1k,7.601351351351352
2159,12,C: <100,7.875
2161,31,B: 100-1k,7.8860103626943
2162,8,C: <100,7.650793650793651
2163,11,C: <100,9.0
2164,226,A: 1k-30k,7.738791423001949
2170,93,B: 100-1k,7.715151515151515
2171,16,C: <100,7.120833333333334
2182,16,C: <100,7.904761904761905
2183,40,B: 100-1k,7.548895899053628
2184,13,C: <100,8.625
2186,12,C: <100,7.833333333333333
2189,11,C: <100,8.444444444444445
2193,5,C: <100,8.25
2199,19,C: <100,8.387218045112782
2200,14,C: <100,8.387096774193548
2202,24,B: 100-1k,7.748091603053435
2207,8,C: <100,8.170454545454545
2208,29,B: 100-1k,7.5
2209,8,C: <100,7.421052631578948
2212,46,B: 100-1k,7.5481758652946676
2213,6,C: <100,8.0
2214,18,C: <100,7.47906976744186
2215,3,C: <100,7.2727272727272725
2226,27,B: 100-1k,7.442352941176471
2230,2,C: <100,8.443181818181818
2232,8,C: <100,7.85
2235,12,C: <100,8.292553191489361
2237,8,C: <100,7.8068965517241375
2238,7,C: <100,7.824561403508772
2239,15,C: <100,8.857142857142858
2241,14,B: 100-1k,7.245353159851301
2242,12,C: <100,8.0
2245,21,B: 100-1k,7.743119266055046
2246,36,B: 100-1k,7.634020618556701
2247,7,C: <100,8.2
2250,9,C: <100,7.795180722891566
2252,3,C: <100,9.271428571428572
2254,56,B: 100-1k,7.759887005649717
2258,36,B: 100-1k,7.579868708971554
2262,11,C: <100,7.730769230769231
2270,8,C: <100,7.4036697247706424
2271,2,C: <100,8.607142857142858
2277,2,C: <100,9.538461538461538
2280,21,B: 100-1k,7.644796380090498
2287,48,B: 100-1k,7.413684210526315
2290,46,B: 100-1k,8.069868995633188
2292,2,C: <100,8.636363636363637
2294,2,C: <100,7.0
2295,5,C: <100,12.0
2301,3,C: <100,7.5
2302,18,C: <100,8.243478260869566
2308,8,C: <100,10.0
2310,13,C: <100,8.55045871559633
2320,2,C: <100,8.5
2329,4,C: <100,8.51968503937008
2333,11,C: <100,7.589147286821706
2339,17,B: 100-1k,8.5
2349,2,C: <100,9.157894736842104
2366,36,B: 100-1k,8.377358490566039
2368,11,C: <100,8.19626168224299
2369,4,C: <100,6.5
2373,170,A: 1k-30k,7.801692865779928
2374,59,B: 100-1k,8.064467766116941
2382,20,C: <100,8.3125
2384,2,C: <100,8.75
2392,7,C: <100,7.6
2396,2,C: <100,7.0
2398,70,B: 100-1k,7.837772397094431
2401,2,C: <100,7.0
2412,19,B: 100-1k,7.342105263157895
2418,251,A: 1k-30k,7.6398559423769505
2421,2,C: <100,8.0
2426,62,B: 100-1k,7.557817589576548
2427,4,C: <100,10.333333333333334
2432,386,A: 1k-30k,7.605105105105105
2433,9,C: <100,7.330935251798561
2435,33,B: 100-1k,7.681647940074907
2436,157,A: 1k-30k,7.461406518010292
2438,15,C: <100,7.282442748091603
2440,18,B: 100-1k,8.03225806451613
2443,390,A: 1k-30k,7.533293815451492
2445,84,B: 100-1k,7.5829903978052124
2448,32,B: 100-1k,7.229166666666667
2458,5,C: <100,8.333333333333334
2465,309,A: 1k-30k,7.738944365192582
2466,14,C: <100,7.378947368421053
2467,19,C: <100,8.222222222222221
2468,49,B: 100-1k,7.464285714285714
2474,2,C: <100,7.477611940298507
2476,58,B: 100-1k,7.773134328358209
2482,5,C: <100,7.343096234309623
2484,2,C: <100,7.5
2487,15,C: <100,8.571428571428571
2491,4,C: <100,7.571428571428571
2492,185,B: 100-1k,8.434782608695652
2494,38,B: 100-1k,7.546325878594249
2496,29,B: 100-1k,7.650918635170604
2498,2,C: <100,7.0
2499,41,B: 100-1k,7.575520833333333
2502,13,C: <100,9.0
2505,2,C: <100,8.0
2508,141,B: 100-1k,8.738636363636363
2512,8,C: <100,7.51685393258427
2514,38,B: 100-1k,7.8
2517,43,B: 100-1k,8.059681697612731
2518,21,B: 100-1k,7.302040816326531
2520,60,B: 100-1k,7.322654462242563
2521,10,C: <100,7.6644736842105265
2522,52,B: 100-1k,7.462264150943396
2530,3,C: <100,7.5
2531,55,B: 100-1k,7.355769230769231
2532,11,C: <100,7.470588235294118
2534,22,B: 100-1k,7.679577464788732
2535,2,C: <100,8.172413793103448
2543,13,C: <100,7.83
2549,16,B: 100-1k,7.622641509433962
2554,15,C: <100,7.191616766467066
2555,2,C: <100,10.0
2563,13,C: <100,8.617021276595745
2570,17,C: <100,7.270769230769231
2572,2,C: <100,6.0
2577,4,C: <100,10.0
2580,27,B: 100-1k,7.736442516268981
2582,21,B: 100-1k,7.533333333333333
2584,4,C: <100,8.0
2585,895,A: 1k-30k,7.51268115942029
2586,505,A: 1k-30k,7.734375
2587,100,B: 100-1k,7.648648648648648
2589,640,A: 1k-30k,7.4854413102820745
